game_dir,game_name,latest_backup_utc,backup_snapshots,backup_file_count,total_size_bytes,save_like_file_count,lutris_id,lutris_slug,lutris_runner,lutris_platform,lutris_categories,lutris_playtime_hours,lutris_playtime_text,lutris_lastplayed_utc,steam_appid,steam_playtime_hours,steam_playtime_text,steam_lastplayed_utc,steam_installed,playtime_text,lastplayed_utc,installed,story_progress_text,story_source,story_confidence,notes
steam-1671340,Fears to Fathom - Episode 1,,0,0,0,0,51,fears-to-fathom-episode-1,steam,Linux,,0.0,0m,,1671340,0.4666666666666667,28m,2026-07-30T08:02:27+00:00,1,28m,2026-07-30T08:02:27+00:00,1,,,,No ludusavi backup; this entry comes from the Steam library. Current playtime came from the local Lutris database.
steam-1551360,Forza Horizon 5,,0,0,0,0,,,,,,,,,1551360,13.316666666666666,13h 19m,,0,13h 19m,,0,,,,No ludusavi backup; this entry comes from the Steam library.
Ghost of Tsushima Director's Cut,Ghost of Tsushima Director's Cut,2025-12-30T21:47:21.677309162Z,1,6,4842144,2,4,ghost-of-tsushima-directors-cut,wine,Windows,,0.03559,2m,2025-10-28T13:30:38+00:00,,,,,0,2m,2025-10-28T13:30:38+00:00,1,"At least Act 3 (Izuhara, Toyotama, Kamiagata markers found)",Ghost of Tsushima Director's Cut/drive-0/run/media/x3ero0/Games/Lutris/ghost-of-tsushima-directors-cut/drive_c/users/x3ero0/Documents/Ghost of Tsushima DIRECTOR'S CUT/76561197960271872/manual_0000.sav,low,Current playtime came from the local Lutris database. Ghost of Tsushima act is inferred from region names embedded in the save.
God of War,God of War,2026-04-17T05:46:14.966953660Z,1,2,33556564,1,8,god-of-war--1,wine,Windows,Completed,23.4652,23h 28m,2026-07-24T23:46:02+00:00,,,,,0,23h 28m,2026-07-24T23:46:02+00:00,1,,,,Current playtime came from the local Lutris database.
Grand Theft Auto_ San Andreas,Grand Theft Auto: San Andreas,2026-07-15T23:52:18.367505453Z,1,21,4323224,0,36,grand-theft-auto-san-andreas,wine,Windows,Completed|favorite,34.19745004567,34h 12m,2026-07-15T23:44:24+00:00,,,,,0,34h 12m,2026-07-15T23:44:24+00:00,1,,,,Current playtime came from the local Lutris database.
Grand Theft Auto_ Vice City,Grand Theft Auto: Vice City,2026-08-17T14:02:48.370882811Z,1,9,1816452,0,40,grand-theft-auto-vice-city,linux,Linux,,4.164033306517222,4h 10m,2026-08-17T13:32:58+00:00,,,,,0,4h 10m,2026-08-17T13:32:58+00:00,1,,,,Current playtime came from the local Lutris database.
Halo 4,Halo 4,2026-01-02T08:56:13.885199789Z,1,1,17210,1,,,,,,,,,,,,,0,,2026-01-02T08:56:13.885199789Z,0,,,,
Halo_ The Master Chief Collection,Halo: The Master Chief Collection,2026-01-02T08:56:13.888390437Z,1,1,17210,1,,,,,,,,,,,,,0,,2026-01-02T08:56:13.888390437Z,0,,,,
steam-1433340,Happy's Humble Burger Farm,,0,0,0,0,,,,,,,,,1433340,0.0,0m,,0,0m,,0,,,,No ludusavi backup; this entry comes from the Steam library.
Hot Wheels_ Beat That!,Hot Wheels: Beat That!,2026-08-13T10:13:53.688765948Z,1,4,4693464,1,27,hot-wheels-beat-that,wine,Windows,,0.2496555917363889,15m,2026-03-30T03:59:51+00:00,,,,,0,15m,2026-03-30T03:59:51+00:00,1,,,,Current playtime came from the local Lutris database.
Indiana Jones and the Great Circle,Indiana Jones and the Great Circle,2025-12-30T21:47:20.854174186Z,1,1,482,0,5,indiana-jones-and-the-great-circle,wine,Windows,Backlog,0.10634043542305557,6m,2025-12-22T07:59:39+00:00,,,,,0,6m,2025-12-22T07:59:39+00:00,1,,,,Current playtime came from the local Lutris database.
steam-4167960,Jaden Williams' The Stalking Stairs,,0,0,0,0,47,jaden-williams-the-stalking-stairs,steam,Linux,,0.0,0m,,4167960,1.5333333333333334,1h 32m,2026-07-30T23:07:06+00:00,1,1h 32m,2026-07-30T23:07:06+00:00,1,,,,No ludusavi backup; this entry comes from the Steam library. Current playtime came from the local Lutris database.
JDM_ Japanese Drift Master,JDM: Japanese Drift Master,2026-07-31T11:44:35.717928632Z,1,6,4988082,6,18,jdm-japanese-drift-master,wine,Windows,,4.173883741984166,4h 10m,2026-07-31T11:18:05+00:00,,,,,0,4h 10m,2026-07-31T11:18:05+00:00,1,,,,Current playtime came from the local Lutris database.
Left 4 Dead 2,Left 4 Dead 2,2026-01-17T22:59:03.965319333Z,1,1,7355,0,45,left-4-dead-2,steam,Linux,,0.15,9m,,550,0.15,9m,,1,9m,2026-01-17T22:59:03.965319333Z,1,,,,Current playtime came from the local Lutris database. Current playtime came from the Steam Web API.
steam-2767030,Marvel Rivals,,0,0,0,0,,,,,,,,,2767030,1.0,1h,,0,1h,,0,,,,No ludusavi backup; this entry comes from the Steam library.
Marvel's Spider-Man Remastered,Marvel's Spider-Man Remastered,2026-07-25T01:52:52.400870389Z,1,7,4577189,3,6,marvels-spider-man-remastered,wine,Windows,,0.27752470770638893,17m,2026-07-25T00:53:36+00:00,,,,,0,17m,2026-07-25T00:53:36+00:00,1,,,,Current playtime came from the local Lutris database.
Max Payne,Max Payne,2026-04-16T04:55:02.717330785Z,1,6,7587410,0,32,max-payne,wine,Windows,,0.8752503674100001,53m,2026-04-16T04:33:12+00:00,,,,,0,53m,2026-04-16T04:33:12+00:00,1,,,,Current playtime came from the local Lutris database.
